id,block_code,sequence,layout,interior_m2,outdoor_m2,floor_level,price_amount,price_currency,price_confidence,sale_status,data_quality,is_modelled,source_url
AZW-B01-0025,B01,25,5+1,361.0,,,1200000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0026,B01,26,3+1,183.0,,1,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0027,B01,27,1+1,85.0,,2,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0028,B01,28,2+1,129.0,,3,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0029,B01,29,4+1,313.0,,4,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0030,B01,30,5+1,361.0,,5,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0031,B01,31,3+1,183.0,,0,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0032,B01,32,1+1,85.0,,1,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0033,B01,33,2+1,129.0,,2,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0034,B01,34,4+1,313.0,,3,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0035,B01,35,5+1,361.0,,4,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0036,B01,36,3+1,183.0,,5,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0037,B01,37,1+1,85.0,,0,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0038,B01,38,2+1,129.0,,1,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0039,B01,39,4+1,313.0,,2,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0040,B01,40,5+1,361.0,,3,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0041,B01,41,3+1,183.0,,4,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0042,B01,42,1+1,85.0,,5,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0043,B01,43,2+1,129.0,,0,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0044,B01,44,4+1,313.0,,1,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0045,B01,45,5+1,361.0,,2,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0046,B01,46,3+1,183.0,,3,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0047,B01,47,1+1,85.0,,4,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0048,B01,48,2+1,129.0,,5,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0049,B01,49,4+1,313.0,,0,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0050,B01,50,5+1,361.0,,1,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0051,B01,51,3+1,183.0,,2,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0052,B01,52,1+1,85.0,,3,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0053,B01,53,2+1,129.0,,4,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0054,B01,54,4+1,313.0,,5,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0055,B01,55,5+1,361.0,,0,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0056,B01,56,3+1,183.0,,1,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0057,B01,57,1+1,85.0,,2,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0058,B01,58,2+1,129.0,,3,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0059,B01,59,4+1,313.0,,4,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0060,B01,60,5+1,361.0,,5,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0061,B01,61,3+1,183.0,,0,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0062,B01,62,1+1,85.0,,1,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0063,B01,63,2+1,129.0,,2,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0064,B01,64,4+1,313.0,,3,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0065,B01,65,5+1,361.0,,4,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0066,B01,66,3+1,183.0,,5,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0067,B01,67,1+1,85.0,,0,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0068,B01,68,2+1,129.0,,1,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0069,B01,69,4+1,313.0,,2,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0070,B01,70,5+1,361.0,,3,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0071,B01,71,3+1,183.0,,4,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0072,B01,72,1+1,85.0,,5,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0073,B01,73,2+1,129.0,,0,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0074,B01,74,4+1,313.0,,1,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0075,B01,75,5+1,361.0,,2,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0076,B01,76,3+1,183.0,,3,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0077,B01,77,1+1,85.0,,4,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0078,B01,78,2+1,129.0,,5,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0079,B01,79,4+1,313.0,,0,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0080,B01,80,5+1,361.0,,1,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0081,B01,81,3+1,183.0,,2,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0082,B01,82,1+1,85.0,,3,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0083,B01,83,2+1,129.0,,4,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0084,B01,84,4+1,313.0,,5,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0085,B01,85,5+1,361.0,,0,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0086,B01,86,3+1,183.0,,1,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0087,B01,87,1+1,85.0,,2,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0088,B01,88,2+1,129.0,,3,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0089,B01,89,4+1,313.0,,4,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0090,B01,90,5+1,361.0,,5,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0091,B01,91,3+1,183.0,,0,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0092,B01,92,1+1,85.0,,1,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0093,B01,93,2+1,129.0,,2,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0094,B01,94,4+1,313.0,,3,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0001,B02,1,5+1,361.0,,0,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0002,B02,2,3+1,183.0,,1,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0003,B02,3,1+1,85.0,,2,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0004,B02,4,2+1,129.0,,3,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0005,B02,5,4+1,313.0,,4,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0006,B02,6,5+1,361.0,,5,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0007,B02,7,3+1,183.0,,0,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0008,B02,8,1+1,85.0,,1,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0009,B02,9,2+1,129.0,,2,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0010,B02,10,4+1,313.0,,3,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0011,B02,11,5+1,361.0,,4,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0012,B02,12,3+1,183.0,,5,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0013,B02,13,1+1,85.0,,0,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0014,B02,14,2+1,129.0,,1,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0015,B02,15,4+1,313.0,,2,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0016,B02,16,5+1,361.0,,3,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0017,B02,17,3+1,183.0,,4,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0018,B02,18,1+1,85.0,,5,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0019,B02,19,2+1,129.0,,0,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0020,B02,20,4+1,313.0,,1,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0021,B02,21,5+1,361.0,,2,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0022,B02,22,3+1,183.0,,3,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0023,B02,23,1+1,85.0,,4,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0024,B02,24,2+1,129.0,,5,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0025,B02,25,4+1,313.0,,0,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0026,B02,26,5+1,361.0,,1,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0027,B02,27,3+1,183.0,,2,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0028,B02,28,1+1,85.0,,3,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0029,B02,29,2+1,129.0,,4,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0030,B02,30,4+1,313.0,,5,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0031,B02,31,5+1,361.0,,0,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0032,B02,32,3+1,183.0,,1,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0033,B02,33,1+1,85.0,,2,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0034,B02,34,2+1,129.0,,3,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0035,B02,35,4+1,313.0,,4,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0036,B02,36,5+1,361.0,,5,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0037,B02,37,3+1,183.0,,0,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0038,B02,38,1+1,85.0,,1,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0039,B02,39,2+1,129.0,,2,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0040,B02,40,4+1,313.0,,3,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0041,B02,41,5+1,361.0,,4,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0042,B02,42,3+1,183.0,,5,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0043,B02,43,1+1,85.0,,0,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0044,B02,44,2+1,129.0,,1,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0045,B02,45,4+1,313.0,,2,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0046,B02,46,5+1,361.0,,3,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0047,B02,47,3+1,183.0,,4,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0048,B02,48,1+1,85.0,,5,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0049,B02,49,2+1,129.0,,0,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0050,B02,50,4+1,313.0,,1,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0051,B02,51,5+1,361.0,,2,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0052,B02,52,3+1,183.0,,3,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B02-0053,B02,53,1+1,85.0,,4,168500,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B02-0054,B02,54,2+1,129.0,,5,281131,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B02-0055,B02,55,4+1,313.0,,0,650000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0056,B02,56,5+1,361.0,,1,1200000,EUR,inferred,unknown,modelled,true,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B02-0057,B02,57,3+1,183.0,,2,574000,EUR,inferred,unknown,modelled,true,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
